"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"1,""0.000000"",""0c:43:82:af:a5:00"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"2,""0.000020"",""0c:43:82:af:a5:01"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"3,""0.000025"",""0c:43:82:37:fd:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"4,""0.000029"",""0c:43:82:37:fd:00"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"5,""0.000033"",""0c:43:82:d4:06:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"6,""0.000037"",""0c:43:82:d4:06:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"7,""0.000042"",""0c:43:82:d4:06:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"8,""0.000046"",""0c:43:82:d4:06:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"9,""0.000050"",""0c:43:82:37:fd:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"10,""0.000054"",""0c:43:82:d4:06:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"11,""0.000059"",""0c:43:82:37:fd:01"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"12,""0.000063"",""0c:43:82:d4:06:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"13,""0.000067"",""0c:43:82:37:fd:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
